A=Rank	B=Calculator Keyword	C=Category	D=Monthly Volume (US)	E=KD	F=CPC (USD)	G=Search Intent	H=SERP Features
A=172	B=chipotle calorie calculator	C=Health & Fitness	D=33100	E=39	F=0	G=Navigational	H=Sitelinks, Video, Related searches
A=173	B=mileage calculator	C=Date & Time	D=27100	E=63	F=1.53	G=Commercial	H=AI Overview, Video, People also ask, Related searches
A=174	B=apr calculator	C=Finance & Loans	D=27100	E=59	F=1.33	G=Informational	H=Video, People also ask, Related searches
A=175	B=moon sign calculator	C=Other & Misc	D=27100	E=47	F=0.76	G=Informational	H=Video, People also ask, Related searches
A=176	B=options profit calculator	C=Finance & Loans	D=22200	E=59	F=2.5	G=Transactional	H=Sitelinks, Video, People also ask, Related searches
A=177	B=mortgage amortization calculator	C=Finance & Loans	D=33100	E=66	F=0.66	G=Informational, Transactional	H=Video, Related searches
A=178	B=percent decrease calculator	C=Math & Science	D=12100	E=36	F=5.98	G=Informational	H=Video, People also ask, Related searches
A=179	B=annual income calculator	C=Finance & Loans	D=40500	E=69	F=0.12	G=Informational	H=Video, People also ask, Related searches
A=180	B=birthday calculator	C=Other & Misc	D=27100	E=65	F=1.48	G=Informational	H=Video, Related searches
A=181	B=social security calculator	C=Finance & Loans	D=49500	E=92	F=0.11	G=Informational, Navigational	H=Video, People also ask, Related searches
A=182	B=powerball annuity calculator	C=Finance & Loans	D=6600	E=44	F=35.46	G=Informational	H=Video, People also ask, Related searches
A=183	B=hourly paycheck calculator	C=Finance & Loans	D=18100	E=48	F=3.19	G=Informational, Commercial	H=People also ask, Related searches
A=184	B=interest rate calculator	C=Finance & Loans	D=33100	E=77	F=0.92	G=Commercial	H=Video, Related searches
A=185	B=scrap gold calculator	C=Other & Misc	D=22200	E=40	F=1.18	G=Informational, Commercial	H=Sitelinks, Video, Related searches
A=186	B=pay raise calculator	C=Finance & Loans	D=14800	E=36	F=3.92	G=Informational	H=Sitelinks, Video, People also ask, Related searches
A=187	B=system of equations calculator	C=Other & Misc	D=22200	E=43	F=1.26	G=Informational	H=Instant answer, Video, Related searches
A=188	B=fha loan calculator	C=Finance & Loans	D=27100	E=74	F=1.72	G=Commercial	H=Video, People also ask, Related searches
A=189	B=numerology calculator	C=Other & Misc	D=27100	E=55	F=0.84	G=Informational	H=Sitelinks, Video, People also ask, Related searches
A=190	B=bench press calculator	C=Other & Misc	D=27100	E=26	F=0.01	G=Informational	H=Video, Related searches
A=191	B=tax refund calculator 2025	C=Finance & Loans	D=33100	E=62	F=0.35	G=Commercial	H=Video, People also ask, Related searches
A=192	B=egfr calculator	C=Health & Fitness	D=18100	E=39	F=2.17	G=Informational	H=Video, People also ask, Related searches
A=193	B=closing cost calculator	C=Finance & Loans	D=18100	E=36	F=1.93	G=Commercial	H=Video, People also ask, Related searches, Ads top
A=194	B=paycheck tax calculator	C=Finance & Loans	D=27100	E=78	F=1.81	G=Commercial	H=Video, Related searches
A=195	B=payroll calculator	C=Finance & Loans	D=40500	E=88	F=0.23	G=Commercial	H=Video, Related searches
A=196	B=blood alcohol calculator	C=Health & Fitness	D=14800	E=45	F=4.4	G=Informational	H=Video, Related searches
A=197	B=triangle calculator	C=Math & Science	D=40500	E=73	F=0	G=Informational, Transactional	H=Image pack, Video, Related searches
A=198	B=mixed number calculator	C=Other & Misc	D=18100	E=27	F=1.32	G=Informational	H=Video, People also ask, Related searches
A=199	B=overtime calculator	C=Finance & Loans	D=14800	E=35	F=3.2	G=Informational	H=Video, People also ask, Related searches
A=200	B=home affordability calculator	C=Finance & Loans	D=27100	E=72	F=1.31	G=Informational	H=Sitelinks, Video, Related searches
A=201	B=savings bond calculator	C=Finance & Loans	D=22200	E=55	F=1.52	G=Informational	H=Video, People also ask, Related searches
A=202	B=boat loan calculator	C=Finance & Loans	D=27100	E=63	F=0.9	G=Commercial	H=Video, People also ask, Related searches
A=203	B=voltage drop calculator	C=Date & Time	D=22200	E=28	F=0.44	G=Informational	H=Video, Related searches
A=204	B=factoring calculator	C=Other & Misc	D=33100	E=56	F=0.04	G=Informational	H=Video, Related searches
A=205	B=cubic yard calculator	C=Home & Construction	D=27100	E=49	F=0.38	G=Informational	H=Video, People also ask, Related searches
A=206	B=square root calculator	C=Math & Science	D=33100	E=72	F=0.41	G=Informational	H=Instant answer, Video, People also ask, Related searches
A=207	B=salary increase calculator	C=Finance & Loans	D=12100	E=24	F=3.92	G=Informational	H=Sitelinks, Video, Related searches
A=208	B=pokemon damage calculator	C=Date & Time	D=27100	E=34	F=0	G=Navigational	H=Sitelinks, Video, Related searches
A=209	B=mortgage rate calculator	C=Finance & Loans	D=33100	E=80	F=0.62	G=Commercial	H=Sitelinks, AI Overview, Video, Related searches
A=210	B=finance calculator	C=Other & Misc	D=33100	E=80	F=0.57	G=Informational	H=Video, Related searches, Things to know
A=211	B=dog age calculator	C=Date & Time	D=27100	E=42	F=0.12	G=Informational	H=Image pack, Video, People also ask, Related searches
A=212	B=military pay calculator	C=Other & Misc	D=22200	E=65	F=1.79	G=Informational	H=Video, Related searches
A=213	B=work time calculator	C=Date & Time	D=22200	E=65	F=1.76	G=Informational	H=Image, Related searches
A=214	B=roofing calculator	C=Home & Construction	D=9900	E=33	F=7.61	G=Commercial	H=Sitelinks, Video, Video carousel, People also ask, Related searches, Ads bottom
A=215	B=fuel cost calculator	C=Home & Construction	D=18100	E=69	F=3.71	G=Transactional	H=Video, People also ask, Related searches
A=216	B=scientific notation calculator	C=Math & Science	D=22200	E=54	F=1.2	G=Informational	H=Video, People also ask, Related searches
A=217	B=toll calculator	C=Other & Misc	D=18100	E=48	F=2.05	G=Informational	H=Image, Video, Related searches
A=218	B=square feet calculator	C=Finance & Loans	D=27100	E=50	F=0.29	G=Informational	H=Sitelinks, Video, People also ask, Related searches
A=219	B=clock calculator	C=Other & Misc	D=22200	E=80	F=2.71	G=Informational, Transactional	H=Sitelinks, Video, Related searches
A=220	B=rising sign calculator	C=Other & Misc	D=27100	E=58	F=0.51	G=Informational	H=Video, Related searches
A=221	B=petrol expense calculator	C=Other & Misc	D=14800	E=48	F=3.71	G=Informational	H=Video, People also ask, Related searches
A=222	B=volume calculator	C=Math & Science	D=27100	E=53	F=0.36	G=Informational	H=Video, People also ask, Related searches
A=223	B=simplify calculator	C=Other & Misc	D=22200	E=34	F=0.4	G=Informational	H=Video, People also ask, Related searches
